ar-SA	阿拉伯文 (沙烏地阿拉伯)
ml-IN	馬來亞拉姆文 (印度)
as-IN	阿薩姆文 (印度)
mr-IN	馬拉提文 (印度)
sa-IN	梵文 (印度)
mn-MN	蒙古文 (斯拉夫、蒙古)
bo-CN	藏文 (中華人民共和國)
cy-GB	威爾斯文 (英國)
km-KH	高棉文 (柬埔寨)
lo-LA	寮文 (寮國人民共和國)
gl-ES	加里斯亞文 (西屬加里斯亞)
kok-IN	貢根文 (印度)
syr-SY	敘利亞文 (敘利亞)
si-LK	錫蘭文 (斯里蘭卡)
iu-Cans-CA	依奴提圖特文 (語音節，加拿大)
am-ET	阿姆哈拉文 (衣索比亞)
ne-NP	尼泊爾文 (尼泊爾)
fy-NL	夫里斯蘭文 (荷蘭)
ps-AF	普什圖文 (阿富汗)
fil-PH	菲律賓文 (菲律賓)
dv-MV	迪維西文 (馬爾地夫)
ha-Latn-NG	豪沙文 (拉丁，奈及利亞)
yo-NG	優魯巴文 (奈及利亞)
quz-BO	蓋楚瓦文 (玻利維亞)
nso-ZA	賴索托文 (南非)
ba-RU	巴什喀爾文 (俄羅斯)
lb-LU	盧森堡文 (盧森堡)
kl-GL	格陵蘭文 (格陵蘭)
ig-NG	伊布文 (奈及利亞)
ii-CN	彝文 (中華人民共和國)
arn-CL	馬布切語 (智利)
moh-CA	莫霍克語 (莫霍克)
br-FR	布里敦文 (法國)
ug-CN	維吾爾文 (中華人民共和國)
mi-NZ	毛利文 (紐西蘭)
oc-FR	奧西坦文 (法國)
co-FR	科西嘉文 (法國)
gsw-FR	亞爾薩斯語 (法國)
sah-RU	雅庫特文 (俄羅斯)
qut-GT	基切語 (瓜地馬拉)
rw-RW	金揚萬答文 (盧安達)
wo-SN	沃洛夫文 (塞內加爾)
prs-AF	達里語 (阿富汗)
gd-GB	蘇格蘭蓋爾文 (英國)
ar-IQ	阿拉伯文 (伊拉克)
zh-CN	中文 (簡體，中華人民共和國)
de-CH	德文 (瑞士)
en-GB	英文 (英國)
es-MX	西班牙文 (墨西哥)
fr-BE	法文 (比利時)
it-CH	義大利文 (瑞士)
nl-BE	荷蘭文 (比利時)
nn-NO	挪威文、耐諾斯克 (挪威)
pt-PT	葡萄牙文 (葡萄牙)
sr-Latn-CS	塞爾維亞文 (拉丁，前塞爾維亞蒙特內哥羅)
sv-FI	瑞典文 (芬蘭)
az-Cyrl-AZ	阿澤里文 (斯拉夫、亞塞拜然)
dsb-DE	下索布語 (德國)
se-SE	北沙米文 (瑞典)
ga-IE	愛爾蘭文 (愛爾蘭)
ms-BN	馬來文 (汶萊)
uz-Cyrl-UZ	烏茲別克文 (斯拉夫、烏茲別克)
bn-BD	孟加拉文 (孟加拉)
mn-Mong-CN	蒙古文 (傳統蒙古文，中華人民共和國)
iu-Latn-CA	依奴提圖特文 (拉丁，加拿大)
tzm-Latn-DZ	塔馬塞特文 (拉丁，阿爾及利亞)
quz-EC	蓋楚瓦文 (厄瓜多)
ar-EG	阿拉伯文 (埃及)
zh-HK	中文 (繁體，香港特別行政區)
de-AT	德文 (奧地利)
en-AU	英文 (澳大利亞)
es-ES	西班牙文 (西班牙)
fr-CA	法文 (加拿大)
sr-Cyrl-CS	塞爾維亞文 (斯拉夫文，前塞爾維亞蒙特內哥羅)
se-FI	北沙米文 (芬蘭)
quz-PE	蓋楚瓦文 (秘魯)
ar-LY	阿拉伯文 (利比亞)
zh-SG	中文 (簡體，新加坡)
de-LU	德文 (盧森堡)
en-CA	英文 (加拿大)
es-GT	西班牙文 (瓜地馬拉)
fr-CH	法文 (瑞士)
hr-BA	克羅埃西亞文 (拉丁，波士尼亞赫塞哥維納)
smj-NO	盧勒沙米文 (挪威)
ar-DZ	阿拉伯文 (阿爾及利亞)
zh-MO	中文 (繁體，澳門特別行政區)
de-LI	德文 (列支敦斯登)
en-NZ	英文 (紐西蘭)
es-CR	西班牙文 (哥斯大黎加)
fr-LU	法文 (盧森堡)
bs-Latn-BA	波士尼亞文 (拉丁，波士尼亞赫塞哥維納)
smj-SE	盧勒沙米文 (瑞典)
ar-MA	阿拉伯文 (摩洛哥)
en-IE	英文 (愛爾蘭)
es-PA	西班牙文 (巴拿馬)
fr-MC	法文 (摩納哥)
sr-Latn-BA	塞爾維亞文 (拉丁，波士尼亞赫塞哥維納)
sma-NO	南沙米文 (挪威)
ar-TN	阿拉伯文 (突尼西亞)
en-ZA	英文 (南非)
es-DO	西班牙文 (多明尼加)
sr-Cyrl-BA	塞爾維亞文 (斯拉夫，波士尼亞赫塞哥維納)
sma-SE	南沙米文 (瑞典)
ar-OM	阿拉伯文 (阿曼)
en-JM	英文 (牙買加)
es-VE	西班牙文 (委內瑞拉共和國)
bs-Cyrl-BA	波士尼亞文 (斯拉夫，波士尼亞赫塞哥維納)
sms-FI	斯科特沙米文 (芬蘭)
ar-YE	阿拉伯文 (葉門)
en-029	英文 (加勒比海)
es-CO	西班牙文 (哥倫比亞)
sr-Latn-RS	塞爾維亞文 (拉丁、塞爾維亞)
smn-FI	伊納立沙米文 (芬蘭)
ar-SY	阿拉伯文 (敘利亞)
en-BZ	英文 (貝里斯)
es-PE	西班牙文 (秘魯)
sr-Cyrl-RS	塞爾維亞文 (斯拉夫、塞爾維亞)
ar-JO	阿拉伯文 (約旦)
en-TT	英文 (千里達及托巴哥)
es-AR	西班牙文 (阿根廷)
sr-Latn-ME	塞爾維亞文 (拉文，蒙特內哥羅)
ar-LB	阿拉伯文 (黎巴嫩)
en-ZW	英文 (辛巴威)
es-EC	西班牙文 (厄瓜多)
sr-Cyrl-ME	塞爾維亞文 (斯拉夫文，蒙特內哥羅)
ar-KW	阿拉伯文 (科威特)
en-PH	英文 (菲律賓)
es-CL	西班牙文 (智利)
ar-AE	阿拉伯文 (阿拉伯聯合大公國)
es-UY	西班牙文 (烏拉圭)
ar-BH	阿拉伯文 (巴林)
es-PY	西班牙文 (巴拉圭)
ar-QA	阿拉伯文 (卡達)
en-IN	英文 (印度)
es-BO	西班牙文 (玻利維亞)
en-MY	英文 (馬來西亞)
es-SV	西班牙文 (薩爾瓦多)
en-SG	英文 (新加坡)
es-HN	西班牙文 (宏都拉斯)
es-NI	西班牙文 (尼加拉瓜)
es-PR	西班牙文 (波多黎各)
es-US	西班牙文 (美國)
